basis,v,n_points,slope_log_relmse_vs_log_N
orthogonal_inverse,0.0001,3,-0.041042611400452844
orthogonal_inverse,0.0003,3,0.12957630579677393
orthogonal_inverse,0.001,3,-0.14116018746260883
orthogonal_inverse,0.003,3,0.162578991452214
orthogonal_inverse,0.01,3,-0.1444259982967722
random_dgi,0.0001,3,-1.037986790127745
random_dgi,0.0003,3,-0.9822110090294922
random_dgi,0.001,3,-1.005968254088909
random_dgi,0.003,3,-0.9747431515092152
random_dgi,0.01,3,-0.9961990164319031
srht_inverse,0.0001,3,-0.012633114014143411
srht_inverse,0.0003,3,-0.006352988804074241
srht_inverse,0.001,3,-0.01952842350226664
srht_inverse,0.003,3,0.0035847423671571807
srht_inverse,0.01,3,-0.004776015472756755
