rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,hadamard_paired,oracle,120.0,0.0,4.93560854045588e-13,1.5383870803700935e-13,2048,0,2048
0.001,0.1,hadamard_paired,oracle,120.0,0.0,5.102906010869842e-13,1.5953049339112987e-13,2048,0,2048
0.001,0.15,hadamard_paired,oracle,120.0,0.0,5.233285796273182e-13,1.541758734842024e-13,2048,0,2048
0.001,0.3,hadamard_paired,oracle,120.0,0.0,5.480043716561928e-13,1.5327954674871513e-13,2048,0,2048
0.001,0.5,hadamard_paired,oracle,120.0,0.0,5.700886268662162e-13,1.543845764003073e-13,2048,0,2048
0.003,0.05,hadamard_paired,oracle,120.0,0.0,5.02017271697935e-13,1.5937092955235623e-13,2048,0,2048
0.003,0.1,hadamard_paired,oracle,120.0,0.0,5.186764896905728e-13,1.5573390096536704e-13,2048,0,2048
0.003,0.15,hadamard_paired,oracle,120.0,0.0,5.320702506529924e-13,1.5139176359916173e-13,2048,0,2048
0.003,0.3,hadamard_paired,oracle,120.0,0.0,5.603785922253723e-13,1.5007376826943708e-13,2048,0,2048
0.003,0.5,hadamard_paired,oracle,120.0,0.0,5.618348367468296e-13,1.514996747035475e-13,2048,0,2048
0.01,0.05,hadamard_paired,oracle,120.0,0.0,5.066188968583475e-13,1.583401139469588e-13,2048,0,2048
0.01,0.1,hadamard_paired,oracle,120.0,0.0,5.257321713966562e-13,1.530992094378019e-13,2048,0,2048
0.01,0.15,hadamard_paired,oracle,120.0,0.0,5.402999148581812e-13,1.4912442582978805e-13,2048,0,2048
0.01,0.3,hadamard_paired,oracle,120.0,0.0,5.676756643555161e-13,1.5505211476503702e-13,2048,0,2048
0.01,0.5,hadamard_paired,oracle,120.0,0.0,5.701383866737076e-13,1.5620464968004856e-13,2048,0,2048
0.03,0.05,hadamard_paired,oracle,120.0,0.0,5.0601796934274e-13,1.586160771768002e-13,2048,0,2048
0.03,0.1,hadamard_paired,oracle,120.0,0.0,5.264014554906731e-13,1.505697282858869e-13,2048,0,2048
0.03,0.15,hadamard_paired,oracle,120.0,0.0,5.393631554901231e-13,1.5142924682688265e-13,2048,0,2048
0.03,0.3,hadamard_paired,oracle,120.0,0.0,5.618783241301885e-13,1.5424606365238762e-13,2048,0,2048
0.03,0.5,hadamard_paired,oracle,120.0,0.0,5.630548316166162e-13,1.5340195672242075e-13,2048,0,2048
0.1,0.05,hadamard_paired,oracle,120.0,0.0,5.060909456710634e-13,1.5755591244311813e-13,2048,0,2048
0.1,0.1,hadamard_paired,oracle,120.0,0.0,5.300538009060135e-13,1.5354607849982505e-13,2048,0,2048
0.1,0.15,hadamard_paired,oracle,120.0,0.0,5.427742257962251e-13,1.5169352917525687e-13,2048,0,2048
0.1,0.3,hadamard_paired,oracle,120.0,0.0,5.603710294747888e-13,1.5340406326654526e-13,2048,0,2048
0.1,0.5,hadamard_paired,oracle,120.0,0.0,5.61918706716791e-13,1.51152530932386e-13,2048,0,2048
0.3,0.05,hadamard_paired,oracle,120.0,0.0,5.094302606062089e-13,1.5682694343257903e-13,2048,0,2048
0.3,0.1,hadamard_paired,oracle,120.0,0.0,5.276497137648893e-13,1.511634394826038e-13,2048,0,2048
0.3,0.15,hadamard_paired,oracle,120.0,0.0,5.405922306687627e-13,1.4860575993076734e-13,2048,0,2048
0.3,0.3,hadamard_paired,oracle,120.0,0.0,5.571279802140755e-13,1.5361857333712856e-13,2048,0,2048
0.3,0.5,hadamard_paired,oracle,120.0,0.0,5.654748598801729e-13,1.5378240353505215e-13,2048,0,2048
1.0,0.05,hadamard_paired,oracle,120.0,0.0,5.050338846122957e-13,1.543095106333933e-13,2048,0,2048
1.0,0.1,hadamard_paired,oracle,120.0,0.0,5.287472552345398e-13,1.4996348041195195e-13,2048,0,2048
1.0,0.15,hadamard_paired,oracle,120.0,0.0,5.392275398743321e-13,1.5342232985514561e-13,2048,0,2048
1.0,0.3,hadamard_paired,oracle,120.0,0.0,5.643276585827024e-13,1.5328919884876107e-13,2048,0,2048
1.0,0.5,hadamard_paired,oracle,120.0,0.0,5.606540717953408e-13,1.5499778272068995e-13,2048,0,2048
