proxy,global_pearson,global_spearman,mean_group_pearson,mean_group_spearman,groups
proxy_min,0.4787043929593174,0.48544513678298684,0.6501449299012546,0.6566115260929694,8
proxy_otsu_threshold,0.46592759087817937,0.4658712608321844,0.6220028118986587,0.6074880806682437,8
proxy_mean,0.37067176832571824,0.3584968529284582,0.5942403921422422,0.5844785494637366,8
proxy_otsu_score,0.37004402382810864,0.3996389275933311,0.48941342846037383,0.5275691892297307,8
proxy_max,0.34673003743204756,0.3875727275577291,0.4536174592058302,0.482940620848202,8
proxy_std,0.29499803422002496,0.2910227806729612,0.42572571959023076,0.4368639840996025,8
loss,0.11281599943891171,0.18795946655045412,0.04918737492423135,0.10860477761944048,8
proxy_aug_loss,0.1049281229184451,0.16823381132639253,0.04918959722492612,0.10842702317557938,8
proxy_dual_abs_mean,0.15350326025774672,0.16575367412252895,0.08806412968356762,0.10699298732468313,8
proxy_denoiser_mse,0.10232858386083675,0.10905644396736093,0.034234233639240885,-0.020978211955298868,8
proxy_data_loss,0.5390336507975978,0.5208572596276273,0.043681039916239756,-0.03879153767613432,8
proxy_range,-0.07969391363923856,-0.03163591470152918,-0.16175884527843198,-0.10167310432760818,8
proxy_roughness_l2,-0.4309353852010755,-0.5077592833044076,-0.3272294632473029,-0.11063714092852318,8
proxy_net_delta_mse,-0.40698650127194114,-0.25365315549045087,-0.22176918543283505,-0.19609671491787292,8
proxy_tv_l1,-0.5373750367133554,-0.6137677729561614,-0.3968546262739155,-0.29161666541663545,8
proxy_hist_entropy,-0.44682041522863575,-0.605408709144027,-0.26976168556538954,-0.31620790519763,8
proxy_otsu_fg_fraction,-0.5990141670730239,-0.639918895372619,-0.5286052712692902,-0.5174550656950764,8
